ProductId,WarehouseId,PhxWarehouseId,Inventory
10000269,69400,2000511,0
10000269,69394,2000507,0
10000269,69392,2000505,0
10000281,69400,2000511,0
10000281,69392,2000505,0
10000281,69394,2000507,0
10000305,69392,2000505,0
10000938,128081,2000819,0
10000938,69394,2000507,0
10000938,69388,2000502,0
10000938,69392,2000505,-32
10000938,69400,2000511,9
10000938,69422,2000514,0
10002255,69394,2000507,0
10002256,69394,2000507,0
10050368,69394,2000507,0
10050368,69400,2000511,0
10050368,69422,2000514,0
10050368,128081,2000819,0
10052520,69394,2000507,0
10054270,69394,2000507,0
10054282,69394,2000507,0
10054284,69422,2000514,0
10054284,128081,2000819,0
10054285,69394,2000507,0
10056294,128081,2000819,0
10056338,128081,2000819,0
10056338,69394,2000507,0
10056338,69392,2000505,0
10056338,69422,2000514,0
10056338,69400,2000511,0
10056340,128081,2000819,0
10056340,69422,2000514,0
10056340,69400,2000511,64
10056340,69392,2000505,0
10056340,69394,2000507,96
10057243,69394,2000507,573
10057243,69392,2000505,1109
10057243,69400,2000511,840
10057243,69422,2000514,0
10057243,128081,2000819,0
10057449,69392,2000505,0
10057449,69400,2000511,0
10057449,69422,2000514,0
10057449,128081,2000819,0
10057463,69392,2000505,0
10057463,69400,2000511,0
10057463,69422,2000514,0
10057463,128081,2000819,0
10061329,69400,2000511,35
10061329,69394,2000507,0
10061331,69394,2000507,0
10061333,69394,2000507,0
10061333,69400,2000511,14
10061333,69422,2000514,0
10061336,69422,2000514,0
10061336,69400,2000511,0
10061336,69394,2000507,0
10061336,128081,2000819,0
10061340,69394,2000507,0
10061340,69400,2000511,0
10061341,69422,2000514,0
10061611,128081,2000819,0
10061611,69394,2000507,0
10061615,69394,2000507,0
10061615,69400,2000511,703
10061615,128081,2000819,0
10061615,69422,2000514,0
10061703,128081,2000819,0
10061703,69400,2000511,86
10061703,69392,2000505,96
10061703,69394,2000507,163
10061703,69422,2000514,0
10062319,69394,2000507,0
10062320,69394,2000507,0
10062320,69392,2000505,37
10062322,69392,2000505,16
10067117,69422,2000514,0
10067117,128081,2000819,0
10067144,69394,2000507,0
10067144,69422,2000514,0
10068963,69422,2000514,0
10068963,69392,2000505,0
10068963,69394,2000507,1
10068963,69400,2000511,20
10068963,128081,2000819,0
10068964,128081,2000819,0
10068964,69400,2000511,1
10068964,69394,2000507,124
10068964,69392,2000505,0
10068964,69422,2000514,0
10068965,69394,2000507,0
10068965,69400,2000511,0
10068966,69392,2000505,0
10068966,69400,2000511,0
10068966,69422,2000514,0
10068966,128081,2000819,0
10068973,128081,2000819,0
10068973,69422,2000514,0
10068973,69392,2000505,0
10068973,69394,2000507,0
10068973,69400,2000511,0
10068975,69400,2000511,202
10068975,69394,2000507,246
10068975,69392,2000505,0
10068975,69422,2000514,0
10068975,128081,2000819,0
10068977,128081,2000819,0
10068977,69394,2000507,0
10068977,69400,2000511,55
10068977,69392,2000505,0
10068977,69422,2000514,0
10069052,69392,2000505,0
10069052,69400,2000511,0
10069052,69422,2000514,0
10069052,128081,2000819,0
10071121,69422,2000514,0
10071121,69400,2000511,0
10071121,69394,2000507,0
10071121,128081,2000819,0
10071122,69394,2000507,0
10071122,69400,2000511,0
10071122,69392,2000505,0
10071122,69422,2000514,0
10071146,128081,2000819,0
10071162,128081,2000819,0
10071162,69422,2000514,0
10071162,69394,2000507,0
10071415,69394,2000507,0
10071415,69400,2000511,0
10071415,128081,2000819,0
10071420,128081,2000819,0
10071420,69400,2000511,-65
10071420,69392,2000505,3
10071420,69394,2000507,-6
10071420,69422,2000514,0
10071421,69422,2000514,0
10071421,69394,2000507,90
10071421,69392,2000505,-55
10071421,69400,2000511,-74
10071421,128081,2000819,0
10071423,69400,2000511,65
10071429,69400,2000511,44
10071429,69392,2000505,292
10071429,69388,2000502,0
10071429,69394,2000507,177
10071429,69422,2000514,0
10071429,128081,2000819,0
10071430,69394,2000507,0
10071430,69392,2000505,8
10071430,69400,2000511,0
10071438,69400,2000511,30
10071438,69392,2000505,382
10071438,69388,2000502,0
10071438,69394,2000507,0
10071438,69422,2000514,0
10071438,128081,2000819,0
10071446,128081,2000819,0
10071446,69394,2000507,50
10071446,69392,2000505,109
10071446,69400,2000511,-3
10071539,69392,2000505,0
10071539,69400,2000511,60
10071539,69394,2000507,148
10071539,69422,2000514,0
10071539,128081,2000819,0
10071541,128081,2000819,0
10071541,69422,2000514,0
10071541,69394,2000507,0
10071541,69400,2000511,337
10071541,69392,2000505,0
10071543,69394,2000507,0
10071543,69392,2000505,0
10071543,69400,2000511,0
10071544,128081,2000819,0
10071544,69400,2000511,107
10071544,69392,2000505,0
10071544,69394,2000507,0
10071544,69422,2000514,0
10071577,69394,2000507,0
10071577,69392,2000505,0
10071577,69422,2000514,0
10071577,69400,2000511,0
10071577,128081,2000819,0
10071578,69394,2000507,0
10071578,69392,2000505,0
10071578,69422,2000514,0
10071578,69400,2000511,0
10071578,128081,2000819,0
10071579,69392,2000505,0
10071579,69394,2000507,0
10071579,69400,2000511,0
10071579,128081,2000819,0
10071580,69394,2000507,0
10071580,69392,2000505,0
10071580,69400,2000511,0
10071580,128081,2000819,0
10074335,69394,2000507,0
10074335,69400,2000511,0
10074336,69394,2000507,0
10074341,69394,2000507,0
10074342,69394,2000507,0
10074413,69394,2000507,138
10074413,69392,2000505,7
10074413,69400,2000511,41
10074413,69422,2000514,0
10074413,128081,2000819,0
10074422,128081,2000819,0
10074422,69422,2000514,0
10074422,69392,2000505,96
10074422,69400,2000511,-16
10074422,69394,2000507,96
10074439,69394,2000507,56
10074439,69392,2000505,156
10074439,69400,2000511,205
10074439,128081,2000819,0
10074811,128081,2000819,0
10074811,69392,2000505,0
10074811,69400,2000511,53
10074811,69394,2000507,0
10074811,69422,2000514,0
10074815,69392,2000505,0
10074815,69394,2000507,0
10074815,69400,2000511,0
10074815,69422,2000514,0
10074815,128081,2000819,0
10074817,69394,2000507,0
10074817,69392,2000505,0
10074817,69422,2000514,0
10074817,69400,2000511,0
10074819,128081,2000819,0
10074819,69422,2000514,0
10074819,69400,2000511,589
10074819,69392,2000505,0
10074860,69400,2000511,316
10074860,69394,2000507,0
10074860,69392,2000505,0
10074860,128081,2000819,0
10074922,128081,2000819,0
10074922,69394,2000507,676
10074922,69400,2000511,1930
10074922,69392,2000505,1668
10074922,69422,2000514,0
10074931,69400,2000511,0
10074931,69394,2000507,0
10074933,69394,2000507,0
10074934,69394,2000507,0
10074935,128081,2000819,0
10074936,69394,2000507,0
10074937,69400,2000511,0
10074938,69394,2000507,0
10075053,69394,2000507,101
10075053,69400,2000511,30
10075053,128081,2000819,0
10075053,69422,2000514,0
10075055,69422,2000514,0
10075055,128081,2000819,0
10075055,69400,2000511,126
10075055,69394,2000507,165
10075057,69394,2000507,-28
10075057,69400,2000511,336
10075057,128081,2000819,0
10075058,128081,2000819,0
10075058,69394,2000507,3
10075059,69394,2000507,7
10075059,69400,2000511,499
10075059,128081,2000819,0
10075060,128081,2000819,0
10075060,69400,2000511,227
10075060,69394,2000507,192
10075060,69422,2000514,0
10075066,69422,2000514,0
10075066,69394,2000507,0
10075066,69392,2000505,252
10075066,69400,2000511,24
10075066,128081,2000819,0
10075068,69400,2000511,144
10075068,69394,2000507,0
10075068,128081,2000819,0
10075070,69394,2000507,0
10075070,69392,2000505,0
10075070,69400,2000511,142
10075070,69422,2000514,0
10075070,128081,2000819,0
10075071,69422,2000514,0
10075071,69392,2000505,56
10075071,69400,2000511,135
10075071,69394,2000507,0
10075071,128081,2000819,0
10075184,69394,2000507,0
10075184,69392,2000505,0
10075184,69400,2000511,0
10075361,128081,2000819,0
10075361,69422,2000514,0
10075361,69394,2000507,0
10075361,69392,2000505,999
10075361,69400,2000511,999
10075362,69392,2000505,999
10075362,69400,2000511,999
10075362,69394,2000507,0
10075362,128081,2000819,0
10075362,69422,2000514,0
10075363,128081,2000819,0
10075363,69422,2000514,0
10075363,69394,2000507,0
10075363,69392,2000505,999
10075363,69400,2000511,999
10075364,69392,2000505,998
10075364,69400,2000511,999
10075364,69394,2000507,0
10075364,128081,2000819,0
10075364,69422,2000514,0
10075365,128081,2000819,0
10075365,69422,2000514,0
10075365,69394,2000507,0
10075365,69392,2000505,999
10075365,69400,2000511,999
10075366,69392,2000505,997
10075366,69400,2000511,999
10075366,69394,2000507,0
10075366,69422,2000514,0
10075366,128081,2000819,0
10075367,128081,2000819,0
10075367,69422,2000514,0
10075367,69394,2000507,0
10075367,69392,2000505,999
10075367,69400,2000511,999
10075368,69392,2000505,999
10075368,69400,2000511,999
10075368,69394,2000507,0
10075368,69422,2000514,0
10075368,128081,2000819,0
10075369,128081,2000819,0
