ProductId,FreightClass,NMFCCode,ExcludeCourier,isAccessory,isSweepsEligible,isSuperdcEligible,SipsEligible
15000404,55,'037860',0,'1','0','0','0'
15000405,55,'037860',0,'1','0','0','0'
15000406,55,'037860',0,'1','0','0','0'
15000407,55,'037860',0,'1','0','0','0'
15000408,55,'037860',0,'1','0','0','0'
15000409,55,'037860',0,'1','0','0','0'
15000410,55,'037860',0,'1','0','0','0'
15000415,55,'037860',0,'1','0','0','0'
15000416,55,'037860',0,'1','0','0','0'
15000417,55,'037860',0,'1','0','0','0'
15000418,55,'037860',0,'1','0','0','0'
15000419,55,'037860',0,'1','0','0','0'
15000423,55,'037860',0,'0','0','1','0'
15000424,55,'037860',0,'0','0','1','0'
15000425,55,'037860',0,'0','0','1','0'
15000426,55,'037860',0,'0','0','1','0'
15000428,60,'182340',1,'0','0','1','0'
15000429,60,'182340',1,'0','0','1','0'
15000430,60,'182340',1,'0','0','1','0'
15000431,60,'182340',1,'0','0','1','0'
15000432,60,'182340',1,'0','0','1','0'
15000433,60,'182340',1,'0','0','1','0'
15000434,60,'182340',1,'0','0','1','0'
15000435,55,'037860',0,'1','0','0','0'
