ProductId,FreightClass,NMFCCode,ExcludeCourier,isAccessory,isSweepsEligible,isSuperdcEligible,SipsEligible
15000404,55,'037860',0,'1','0','0','0'
15000405,55,'037860',0,'1','0','0','0'
15000406,55,'037860',0,'1','0','0','0'
15000407,55,'037860',0,'1','0','0','0'
15000408,55,'037860',0,'1','0','0','0'
15000409,55,'037860',0,'1','0','0','0'
15000410,55,'037860',0,'1','0','0','0'
15000415,55,'037860',0,'1','0','0','0'
15000416,55,'037860',0,'1','0','0','0'
15000417,55,'037860',0,'1','0','0','0'
15000418,55,'037860',0,'1','0','0','0'
15000419,55,'037860',0,'1','0','0','0'
15000423,55,'037860',0,'0','0','1','0'
15000424,55,'037860',0,'0','0','1','0'
15000425,55,'037860',0,'0','0','1','0'
15000426,55,'037860',0,'0','0','1','0'
15000428,60,'182340',1,'0','0','1','0'
15000429,60,'182340',1,'0','0','1','0'
15000430,60,'182340',1,'0','0','1','0'
15000431,60,'182340',1,'0','0','1','0'
15000432,60,'182340',1,'0','0','1','0'
15000433,60,'182340',1,'0','0','1','0'
15000434,60,'182340',1,'0','0','1','0'
15000435,55,'037860',0,'1','0','0','0'
15000436,55,'037860',0,'1','0','0','0'
15000437,55,'037860',0,'1','0','0','0'
15000438,55,'037860',0,'1','0','0','0'
15000439,55,'037860',0,'1','0','0','0'
15000440,55,'037860',0,'1','0','0','0'
15000441,55,'037860',0,'1','0','0','0'
15000442,55,'037860',0,'1','0','0','0'
15000443,55,'037860',0,'1','0','0','0'
15000444,60,'182340',1,'0','0','1','0'
15000445,60,'182340',1,'0','0','1','0'
15000446,60,'182340',1,'0','0','1','0'
15000447,60,'182340',1,'0','0','1','0'
15000448,60,'182340',1,'0','0','1','0'
15000449,60,'182340',1,'0','0','1','0'
15000450,60,'182340',1,'0','0','1','0'
15000451,55,'037860',0,'0','0','0','0'
15000452,55,'037860',0,'0','0','0','0'
15000453,55,'037860',0,'0','0','0','0'
15000454,55,'037860',0,'0','0','0','0'
15000455,125,'034265-07',1,'0','0','0','0'
15000456,125,'034265-07',1,'0','0','0','0'
15000458,250,'034265-07',1,'0','0','0','0'
15000459,125,'034265-07',1,'0','0','0','0'
15000460,125,'034265-07',1,'0','0','0','0'
15000462,125,'034265-07',1,'0','0','0','0'
15000463,125,'034265-07',1,'0','0','0','0'
15000465,125,'034265-07',1,'0','0','0','0'
15000466,125,'034265-07',1,'0','0','0','0'
15000467,125,'034265-07',1,'0','0','0','0'
15000469,125,'034265-07',1,'0','0','0','0'
15000470,125,'034265-07',1,'0','0','0','0'
15000471,125,'034265-07',1,'0','0','0','0'
15000472,125,'034265-07',1,'0','0','0','0'
15000474,125,'034265-07',1,'0','0','0','0'
15000475,125,'034265-07',1,'0','0','0','0'
15000476,125,'034265-07',1,'0','0','0','0'
15000477,125,'034265-07',1,'0','0','0','0'
15000479,125,'034265-07',1,'0','0','0','0'
15000480,125,'034265-07',1,'0','0','0','0'
15000482,125,'034265-07',1,'0','0','0','0'
15000483,125,'034265-07',1,'0','0','0','0'
15000484,125,'034265-07',1,'0','0','0','0'
15000485,125,'034265-07',1,'0','0','0','0'
15000487,125,'034265-07',1,'0','0','0','0'
15000489,125,'034265-07',1,'0','0','0','0'
15000490,125,'034265-07',1,'0','0','0','0'
15000491,125,'034265-07',1,'0','0','0','0'
15000493,125,'034265-07',1,'0','0','0','0'
15000494,125,'034265-07',1,'0','0','0','0'
15000495,125,'034265-07',1,'0','0','0','0'
15000497,125,'034265-07',1,'0','0','0','0'
15000498,125,'034265-07',1,'0','0','0','0'
15000499,125,'034265-07',1,'0','0','0','0'
15000501,125,'034265-07',1,'0','0','0','0'
15000502,125,'034265-07',1,'0','0','0','0'
15000515,55,'070650',0,'1','0','1','0'
15000516,55,'070650',0,'1','0','1','0'
15000517,55,'070650',0,'1','0','1','0'
15000518,60,'037860',0,'0','0','0','0'
15000519,60,'037860',0,'0','0','0','0'
15000520,55,'037860',0,'0','0','0','0'
15000521,55,'037860',0,'0','0','0','0'
15000527,55,'037860',0,'0','0','0','0'
15000528,55,'037860',0,'0','0','0','0'
15000529,55,'037860',0,'0','0','0','0'
15000542,55,'037860',0,'0','0','0','0'
15000543,55,'037860',0,'0','0','0','0'
15000544,55,'037860',0,'0','0','0','0'
15000563,60,'090500-04',0,'0','0','1','0'
15000564,55,'070650',0,'1','0','1','0'
15000565,55,'070650',0,'1','0','1','0'
15000566,60,'182340',1,'1','0','1','0'
15000567,60,'182340',1,'1','0','1','0'
15000568,60,'182340',1,'1','0','1','0'
15000569,60,'182340',1,'1','0','1','0'
15000582,55,'037860',0,'0','0','0','0'
15000583,55,'037860',0,'0','0','0','0'
15000584,55,'037860',0,'0','0','0','0'
15000585,55,'037860',0,'0','0','0','0'
15000587,55,'037860',0,'0','0','0','0'
15000588,55,'037860',0,'0','0','0','0'
15000589,55,'037860',0,'0','0','0','0'
15000592,85,'039460',0,'0','1','1','1'
15000593,85,'039460',0,'0','1','1','1'
15000594,85,'039460',0,'0','1','1','1'
15000595,125,'034265-07',1,'0','0','0','0'
15000596,125,'034265-07',1,'0','0','0','0'
15000597,125,'034265-07',1,'0','0','0','0'
15000598,125,'034265-07',1,'0','0','0','0'
15000599,125,'034265-07',1,'0','0','0','0'
15000600,125,'034265-07',1,'0','0','0','0'
15000601,125,'034265-07',1,'0','0','0','0'
15000602,125,'034265-07',1,'0','0','0','0'
15000603,125,'034265-07',1,'0','0','0','0'
15000604,125,'034265-07',1,'0','0','0','0'
15000605,125,'034265-07',1,'0','0','0','0'
15000606,125,'034265-07',1,'0','0','0','0'
15000607,125,'034265-07',1,'0','0','0','0'
15000608,125,'034265-07',1,'0','0','0','0'
15000609,125,'034265-07',1,'0','0','0','0'
15000610,125,'034265-07',1,'0','0','0','0'
15000611,125,'034265-07',1,'0','0','0','0'
15000612,125,'034265-07',1,'0','0','0','0'
15000613,250,'079050-00',0,'0','0','1','0'
15000614,250,'079050-00',0,'0','0','1','0'
15000617,250,'079050-00',0,'0','0','1','0'
15000618,85,'039460',1,'0','0','0','0'
15000620,85,'039460',1,'0','0','0','0'
15000625,55,'037860',0,'0','0','1','0'
15000626,60,'182340',1,'0','0','0','0'
15000627,60,'182340',1,'0','0','0','0'
15000628,60,'182340',1,'0','0','0','0'
15000629,60,'182340',1,'0','0','0','0'
15000630,60,'182340',1,'0','0','0','0'
15000631,60,'182340',1,'0','0','1','0'
15000632,60,'182340',1,'0','0','1','0'
15000633,60,'182340',1,'0','0','1','0'
15000636,60,'182340',1,'0','0','0','0'
15000637,60,'182340',1,'0','0','0','0'
15000639,60,'182340',1,'0','0','1','0'
15000640,60,'182340',1,'0','0','0','0'
15000641,60,'182340',1,'0','0','1','0'
15000642,60,'182340',1,'0','0','1','0'
15000643,60,'182340',1,'0','0','0','0'
15000644,60,'182340',1,'0','0','0','0'
15000645,250,'079050-00',0,'0','0','1','0'
15000646,250,'079050-00',0,'0','0','1','0'
15000647,250,'079050-00',0,'0','0','1','0'
15000648,250,'079050-00',0,'0','0','1','0'
15000649,55,'037860',0,'0','1','1','1'
15000650,250,'034265-04',0,'0','0','1','0'
15000652,250,'034265-04',0,'0','0','1','0'
15000653,250,'034265-04',0,'0','0','1','0'
15000654,250,'034265-04',0,'0','0','1','0'
15000655,250,'034265-04',0,'0','0','1','0'
15000656,250,'034265-04',0,'0','0','1','0'
15000657,250,'034265-04',0,'0','0','1','0'
15000658,250,'034265-04',0,'0','0','1','0'
15000659,250,'034265-04',0,'0','0','1','0'
15000660,250,'034265-04',0,'0','0','1','0'
15000661,250,'034265-04',0,'0','0','1','0'
15000662,250,'034265-04',0,'0','0','1','0'
15000663,250,'034265-04',0,'0','0','1','0'
15000664,55,'037860',0,'0','0','0','0'
15000666,55,'037860',0,'0','0','0','0'
15000667,250,'079050-00',0,'0','0','1','0'
15000668,250,'079050-00',0,'0','0','1','0'
15000672,55,'037860',0,'1','0','0','0'
15000673,55,'037860',0,'1','0','0','0'
15000674,55,'037860',0,'1','0','0','0'
15000675,55,'037860',0,'1','0','0','0'
15000676,55,'037860',0,'1','0','0','0'
15000677,55,'037860',0,'1','0','0','0'
15000680,55,'037860',0,'1','0','0','0'
15000699,250,'079050-00',0,'0','0','1','0'
15000700,60,'004620-60',0,'1','0','0','0'
15000701,60,'004620-60',0,'1','0','0','0'
15000702,55,'037860',0,'0','0','1','0'
15000703,55,'037860',0,'0','0','1','0'
15000704,55,'037860',0,'0','0','1','0'
15000705,55,'037860',0,'0','0','1','0'
15000712,85,'027520',0,'1','1','0','1'
15000713,85,'027520',0,'1','1','0','1'
15000714,85,'027520',0,'1','1','0','1'
15000715,85,'027520',0,'1','1','0','1'
15000719,60,'182340',1,'0','0','1','0'
15000720,60,'182340',1,'0','0','1','0'
15000721,60,'182340',1,'0','0','1','0'
15000722,60,'182340',1,'0','0','1','0'
15000723,60,'182340',1,'0','0','1','0'
15000734,60,'182340',0,'1','0','1','0'
15000735,60,'182340',0,'1','0','1','0'
15000736,60,'182340',0,'1','0','1','0'
15000737,55,'037860',0,'0','0','1','0'
15000738,55,'037860',0,'0','0','1','0'
15000739,55,'037860',0,'0','0','1','0'
15000740,55,'037860',0,'0','0','1','0'
15000822,55,'034375',0,'1','0','0','0'
15000823,55,'034375',0,'1','0','0','0'
15000824,55,'034375',0,'1','0','0','0'
15000825,55,'034375',0,'1','0','0','0'
15000826,55,'034375',0,'1','0','0','0'
15000827,55,'034375',0,'1','0','0','0'
15000828,55,'034375',0,'1','0','0','0'
15000829,55,'034375',0,'1','0','0','0'
15000830,55,'034375',0,'1','0','0','0'
15000831,55,'034375',0,'1','0','0','0'
15000832,55,'034375',0,'1','0','0','0'
15000833,55,'034375',0,'1','0','0','0'
15000834,55,'034375',0,'1','0','0','0'
15000835,55,'034375',0,'1','0','0','0'
15000836,55,'034375',0,'1','0','0','0'
15000837,55,'034375',0,'1','0','0','0'
15000838,55,'034375',0,'1','0','0','0'
15000839,55,'034375',0,'1','0','0','0'
15000840,55,'034375',0,'1','0','0','0'
15000842,55,'034375',0,'1','0','0','0'
15000843,55,'034375',0,'1','0','0','0'
15000844,55,'034375',0,'1','0','0','0'
15000845,55,'034375',0,'1','0','0','0'
15000846,55,'034375',0,'1','0','0','0'
15000847,55,'034375',0,'1','0','0','0'
15000848,55,'034375',0,'1','0','0','0'
15000849,55,'034375',0,'1','0','0','0'
15000850,55,'034375',0,'1','0','0','0'
15000851,55,'034375',0,'1','0','0','0'
15000852,55,'034375',0,'1','0','0','0'
15000853,55,'034375',0,'1','0','0','0'
15000854,55,'037860',0,'1','0','0','0'
15000855,55,'037860',0,'1','0','0','0'
15000856,55,'037860',0,'1','0','0','0'
15000857,55,'037860',0,'1','0','0','0'
15000858,55,'037860',0,'1','0','0','0'
15000859,55,'037860',0,'1','0','0','0'
15000860,55,'037860',0,'1','0','0','0'
15000861,55,'037860',0,'1','0','0','0'
15000862,55,'037860',0,'1','0','0','0'
15000863,55,'037860',0,'1','0','0','0'
15000864,55,'037860',0,'1','0','0','0'
15000867,55,'037860',0,'1','0','0','0'
15000868,55,'037860',0,'1','0','0','0'
15000869,55,'037860',0,'1','0','0','0'
15000870,55,'037860',0,'1','0','0','0'
15000871,55,'037860',0,'1','0','0','0'
15000872,55,'037860',0,'1','0','0','0'
15000873,55,'037860',0,'1','0','0','0'
15000874,55,'037860',0,'1','0','0','0'
15000875,55,'037860',0,'1','0','0','0'
15000876,55,'037860',0,'1','0','0','0'
15000877,55,'037860',0,'1','0','0','0'
15000878,55,'037860',0,'1','0','0','0'
15000879,55,'037860',0,'1','0','0','0'
15000880,55,'037860',0,'1','0','0','0'
15000883,55,'037860',0,'1','0','0','0'
15000884,55,'037860',0,'1','0','0','0'
15000885,55,'037860',0,'1','0','0','0'
15000886,55,'037860',0,'1','0','0','0'
15000887,55,'037860',0,'1','0','0','0'
15000888,55,'037860',0,'1','0','0','0'
15000889,55,'037860',0,'1','0','0','0'
15000890,55,'037860',0,'1','0','0','0'
15000898,55,'037860',0,'1','0','0','0'
15000899,55,'037860',0,'1','0','0','0'
15000900,55,'037860',0,'1','0','0','0'
