ProductId,SellerId,PhxWarehouseId,Inventory
10001352,69528,2000376,285
10001353,69528,2000376,407
10001354,69528,2000376,384
10001361,69528,2000376,333
10001362,69528,2000376,453
10001363,69528,2000376,384
10002255,70812,2000427,0
10002256,70812,2000427,0
10003053,70285,2000247,0
10003054,70285,2000247,0
10003055,70285,2000247,0
10003056,70285,2000247,0
10003057,70285,2000247,0
10003058,70285,2000247,0
10003059,70285,2000247,0
10003060,70285,2000247,0
10003061,70285,2000247,0
10003062,70285,2000247,0
10003068,70285,2000247,0
10003069,70285,2000247,0
10003070,70285,2000247,0
10003071,70285,2000247,0
10003072,70285,2000247,0
10003078,70285,2000247,0
10003079,70285,2000247,0
10003080,70285,2000247,0
10003081,70285,2000247,0
10003082,70285,2000247,0
10003083,70285,2000247,0
10003084,70285,2000247,0
10003085,70285,2000247,0
10003086,70285,2000247,0
10003087,70285,2000247,0
10003093,70285,2000247,0
10003094,70285,2000247,0
10003095,70285,2000247,0
10003096,70285,2000247,0
10003097,70285,2000247,0
10003098,70285,2000247,0
10003099,70285,2000247,0
10003100,70285,2000247,0
10003101,70285,2000247,0
10003102,70285,2000247,0
10003108,70285,2000247,0
10003109,70285,2000247,0
10003110,70285,2000247,0
10003111,70285,2000247,0
10003112,70285,2000247,0
10003113,70285,2000247,0
10003114,70285,2000247,0
10003115,70285,2000247,0
10003116,70285,2000247,0
10003117,70285,2000247,0
10003118,70285,2000247,0
10003119,70285,2000247,0
10003120,70285,2000247,0
10003121,70285,2000247,0
10003122,70285,2000247,0
10017935,70153,2000012,99
10017935,69934,2000084,858
10017936,69934,2000084,3228
10017936,70153,2000012,189
10017937,70153,2000012,60
10017937,69934,2000084,1611
10017938,69934,2000084,1515
10017938,70153,2000012,99
10017939,70153,2000012,215
10017939,69934,2000084,841
10017940,69934,2000084,2947
10017940,70153,2000012,0
10017943,70153,2000012,119
10017943,69934,2000084,2194
10017944,69934,2000084,1248
10017944,70153,2000012,321
10017959,70153,2000012,26
10017959,69934,2000084,771
10017960,69934,2000084,-3
10017960,70153,2000012,1
10017961,70153,2000012,7
10017961,69934,2000084,716
10017962,69934,2000084,1295
10017962,70153,2000012,3
10017963,70153,2000012,95
10017963,69934,2000084,3757
10017964,69934,2000084,699
10017964,70153,2000012,133
10017967,70153,2000012,16
10017967,69934,2000084,448
10017968,69934,2000084,1632
10017968,70153,2000012,26
10018776,70285,2000247,0
10018777,70285,2000247,0
10018778,70285,2000247,0
10018779,70285,2000247,0
10018782,70285,2000247,0
10018783,70285,2000247,0
10018784,70285,2000247,0
10018785,70285,2000247,0
10050368,71079,2000497,0
10050368,71077,2000004,0
10050615,69587,2000055,1000
10050615,69591,2000396,0
10050617,69591,2000396,0
10050617,69587,2000055,999
10050717,69587,2000055,980
10050717,69591,2000396,0
10050719,69591,2000396,0
10050719,69587,2000055,994
10050723,69587,2000055,979
10050723,69591,2000396,0
10050725,69591,2000396,0
10050725,69587,2000055,990
10050735,69587,2000055,965
10050735,69591,2000396,0
10050737,69591,2000396,0
10050737,69587,2000055,964
10050747,69587,2000055,996
10050747,69591,2000396,0
10050749,69591,2000396,0
10050749,69587,2000055,998
10050755,69587,2000055,98
10050755,69591,2000396,0
10050757,69591,2000396,0
10050757,69587,2000055,100
10050780,69587,2000055,986
10050780,69591,2000396,0
10050782,69591,2000396,0
10050782,69587,2000055,960
10050786,69587,2000055,974
10050786,69591,2000396,0
10050788,69591,2000396,0
10050788,69587,2000055,986
10050798,69587,2000055,1000
10050798,69591,2000396,0
10050800,69591,2000396,0
10050800,69587,2000055,973
10050818,69587,2000055,952
10050818,69591,2000396,0
10050958,70285,2000247,0
10050959,70285,2000247,0
10050960,70285,2000247,0
10050961,70285,2000247,0
10050962,70285,2000247,0
10050963,70285,2000247,0
10050964,70285,2000247,0
10050965,70285,2000247,0
10050966,70285,2000247,0
10050967,70285,2000247,0
10050968,70285,2000247,0
10050969,70285,2000247,0
10050970,70285,2000247,0
10050971,70285,2000247,0
10050972,70285,2000247,0
10050973,70285,2000247,0
10050974,70285,2000247,0
10050975,70285,2000247,0
10050976,70285,2000247,0
10050977,70285,2000247,0
10050978,70285,2000247,0
10050979,70285,2000247,0
10050980,70285,2000247,0
10050981,70285,2000247,0
10050982,70285,2000247,0
10050983,70285,2000247,0
10050984,70285,2000247,0
10050985,70285,2000247,0
10050986,70285,2000247,0
10050987,70285,2000247,0
10050988,70285,2000247,0
10050989,70285,2000247,0
10050990,70285,2000247,0
10050991,70285,2000247,0
10050992,70285,2000247,0
10050993,70285,2000247,0
10050994,70285,2000247,0
10050995,70285,2000247,0
10050996,70285,2000247,0
10050997,70285,2000247,0
10050998,70285,2000247,0
10050999,70285,2000247,0
10051000,70285,2000247,0
10051001,70285,2000247,0
10051002,70285,2000247,0
10051003,70285,2000247,0
10051004,70285,2000247,0
10051005,70285,2000247,0
10051006,70285,2000247,0
10051007,70285,2000247,0
10051008,70285,2000247,0
10051009,70285,2000247,0
10051010,70285,2000247,0
10051011,70285,2000247,0
10051012,70285,2000247,0
10051013,70285,2000247,0
10051014,70285,2000247,0
10051015,70285,2000247,0
10051016,70285,2000247,0
10051017,70285,2000247,0
10051018,70285,2000247,0
10051019,70285,2000247,0
10051020,70285,2000247,0
10051021,70285,2000247,0
10051022,70285,2000247,0
10051023,70285,2000247,0
10051024,70285,2000247,0
10051025,70285,2000247,0
10051026,70285,2000247,0
10051027,70285,2000247,0
10051028,70285,2000247,0
10051029,70285,2000247,0
10051030,70285,2000247,0
10051031,70285,2000247,0
10051032,70285,2000247,0
10051033,70285,2000247,0
10051034,70285,2000247,0
10051035,70285,2000247,0
10051036,70285,2000247,0
10051037,70285,2000247,0
10051058,70285,2000247,0
10051059,70285,2000247,0
10051060,70285,2000247,0
10051061,70285,2000247,0
10051062,70285,2000247,0
10051063,70285,2000247,0
10051064,70285,2000247,0
10051065,70285,2000247,0
10051066,70285,2000247,0
10051067,70285,2000247,0
10051068,70285,2000247,0
10051069,70285,2000247,0
10051070,70285,2000247,0
10051071,70285,2000247,0
10051072,70285,2000247,0
10051073,70285,2000247,0
10051074,70285,2000247,0
10051075,70285,2000247,0
10051076,70285,2000247,0
10051077,70285,2000247,0
10051078,70285,2000247,0
10051079,70285,2000247,0
10051080,70285,2000247,0
10051081,70285,2000247,0
10051082,70285,2000247,0
10051083,70285,2000247,0
10051084,70285,2000247,0
10051085,70285,2000247,0
10051086,70285,2000247,0
10051087,70285,2000247,0
10051088,70285,2000247,0
10051089,70285,2000247,0
10051090,70285,2000247,0
10051091,70285,2000247,0
10051092,70285,2000247,0
10051093,70285,2000247,0
10051094,70285,2000247,0
10051095,70285,2000247,0
10051096,70285,2000247,0
10051097,70285,2000247,0
10051098,70285,2000247,0
10051099,70285,2000247,0
10051100,70285,2000247,0
10051101,70285,2000247,0
10051102,70285,2000247,0
10051103,70285,2000247,0
10051104,70285,2000247,0
10051105,70285,2000247,0
10051106,70285,2000247,0
10051107,70285,2000247,0
10051108,70285,2000247,0
10051109,70285,2000247,0
10051110,70285,2000247,0
10051111,70285,2000247,0
10051112,70285,2000247,0
10051113,70285,2000247,0
10051114,70285,2000247,0
10051115,70285,2000247,0
10051116,70285,2000247,0
10051117,70285,2000247,0
10051118,70285,2000247,0
10051119,70285,2000247,0
10051120,70285,2000247,0
10051121,70285,2000247,0
10051122,70285,2000247,0
10051123,70285,2000247,0
10051124,70285,2000247,0
10051125,70285,2000247,0
10051126,70285,2000247,0
10051127,70285,2000247,0
10051128,70285,2000247,0
10051129,70285,2000247,0
10051130,70285,2000247,0
10051131,70285,2000247,0
10051132,70285,2000247,0
10051133,70285,2000247,0
10051134,70285,2000247,0
10051135,70285,2000247,0
10051136,70285,2000247,0
10051137,70285,2000247,0
10051138,70285,2000247,0
10051139,70285,2000247,0
10051140,70285,2000247,0
10051141,70285,2000247,0
10051142,70285,2000247,0
10051143,70285,2000247,0
10051144,70285,2000247,0
10051145,70285,2000247,0
10051146,70285,2000247,0
10051147,70285,2000247,0
10051148,70285,2000247,0
10051149,70285,2000247,0
10051150,70285,2000247,0
10051151,70285,2000247,0
10051152,70285,2000247,0
10051153,70285,2000247,0
10051154,70285,2000247,0
10051155,70285,2000247,0
10051156,70285,2000247,0
10051157,70285,2000247,0
10052493,69561,2000354,564
10052502,69561,2000354,564
10052511,69561,2000354,564
10052513,69561,2000354,625
10052514,69561,2000354,625
10052515,69561,2000354,625
10052516,69561,2000354,444
10052517,69561,2000354,76
10052518,69561,2000354,62
10052519,69561,2000354,399
10052522,69561,2000354,827
10052532,69561,2000354,833
10052542,69561,2000354,825
10053720,70766,2000420,0
10053721,70766,2000420,0
10053725,70766,2000420,0
10054269,69587,2000055,0
10054269,69591,2000396,8
10054270,69591,2000396,83
10054270,69587,2000055,0
10054282,69587,2000055,0
10054282,69591,2000396,0
10054283,69591,2000396,28
10054283,69587,2000055,0
10054284,69587,2000055,0
10054284,69591,2000396,122
10054285,69591,2000396,508
10054285,69587,2000055,0
10055298,69528,2000376,325
10055301,69528,2000376,333
10055303,69528,2000376,465
10055306,69528,2000376,469
10055308,69528,2000376,380
10055311,69528,2000376,347
10055349,71014,2000027,182
10055350,71014,2000027,185
10056294,70883,2000153,225
10056338,93614,2000561,0
10056569,71039,2000487,0
10056576,71039,2000487,0
10056587,71039,2000487,0
10056596,71039,2000487,0
10056603,71039,2000487,0
10057449,70283,2000246,60
10057463,70283,2000246,30
10057929,70153,2000012,1
10057929,69934,2000084,267
10057930,69934,2000084,1464
10057930,70153,2000012,212
10057931,70153,2000012,9
10057931,69934,2000084,885
10057932,69934,2000084,2640
10057932,70153,2000012,0
10057933,70153,2000012,62
10057933,69934,2000084,491
10057934,69934,2000084,1284
10057934,70153,2000012,0
10061329,70883,2000153,212
10061331,70883,2000153,189
10061333,70883,2000153,122
10061336,70883,2000153,145
10061340,70883,2000153,262
10061341,70883,2000153,196
10061405,70883,2000153,492
10061611,70883,2000153,99
10061615,70883,2000153,241
10061981,71033,2000488,333
10061982,71033,2000488,333
10061983,71033,2000488,333
10061985,71033,2000488,333
10061986,71033,2000488,333
10061987,71033,2000488,333
10061988,71033,2000488,333
10061989,71033,2000488,333
10061991,71033,2000488,333
10061993,71033,2000488,333
10061996,71033,2000488,333
10061997,71033,2000488,333
10061998,71033,2000488,333
10062009,71033,2000488,250
10062010,71033,2000488,250
10062011,71033,2000488,250
10062014,71033,2000488,250
10062016,71033,2000488,250
10062018,71033,2000488,250
10062019,71033,2000488,250
